,ORIGIN,DEST,DEP_DEL15,Group,flight_counts
0,ABE,ATL,0.13679245283018868,1,12
1,ABE,BNA,0.13194444444444445,1,12
2,ABE,CLT,0.11890504704875962,1,12
3,ABE,DEN,0.1836734693877551,2,12
4,ABE,FLL,0.27184466019417475,4,12
5,ABE,MLB,0.0,0,12
6,ABE,MYR,0.08333333333333333,0,12
7,ABE,ORD,0.20044543429844097,3,12
8,ABE,PGD,0.1583710407239819,2,12
9,ABE,PIE,0.13454545454545455,1,12
10,ABE,SFB,0.13622291021671826,1,12
11,ABE,SRQ,0.11607142857142858,1,12
12,ABI,DFW,0.1615598885793872,2,1
13,ABQ,ATL,0.1152073732718894,1,28
14,ABQ,AUS,0.21428571428571427,3,28
15,ABQ,BUR,0.26373626373626374,4,28
16,ABQ,BWI,0.41830065359477125,5,28
17,ABQ,DAL,0.20876712328767122,3,28
18,ABQ,DEN,0.22017094017094016,3,28
19,ABQ,DFW,0.21056977704376548,3,28
20,ABQ,EWR,0.18181818181818182,2,28
21,ABQ,HOU,0.18407445708376421,2,28
22,ABQ,IAD,0.18181818181818182,2,28
23,ABQ,IAH,0.17067108533554268,2,28
24,ABQ,JFK,0.46601941747572817,5,28
25,ABQ,LAS,0.25085407515861396,4,28
26,ABQ,LAX,0.12224842767295598,1,28
27,ABQ,LGB,0.10843373493975904,1,28
28,ABQ,MCI,0.38028169014084506,5,28
29,ABQ,MCO,0.2916666666666667,4,28
30,ABQ,MDW,0.2161520190023753,3,28
31,ABQ,MSP,0.10465116279069768,1,28
32,ABQ,OAK,0.06402439024390244,0,28
33,ABQ,ORD,0.18874172185430463,2,28
34,ABQ,PDX,0.21678321678321677,3,28
35,ABQ,PHX,0.1840843720038351,2,28
36,ABQ,SAN,0.2719869706840391,4,28
37,ABQ,SAT,0.2777777777777778,4,28
38,ABQ,SEA,0.23387096774193547,3,28
39,ABQ,SFO,0.2109704641350211,3,28
40,ABQ,SLC,0.08222811671087533,0,28
41,ABR,MSP,0.09651474530831099,0,1
42,ABY,ATL,0.09392265193370165,0,1
43,ACK,BOS,0.2840909090909091,4,9
44,ACK,CLT,0.4,5,9
45,ACK,DCA,0.18796992481203006,2,9
46,ACK,EWR,0.19318181818181818,2,9
47,ACK,HPN,0.16030534351145037,2,9
48,ACK,JFK,0.2987951807228916,4,9
49,ACK,LGA,0.2651685393258427,4,9
50,ACK,ORD,0.6363636363636364,5,9
51,ACK,PHL,0.2,2,9
52,ACT,DFW,0.1991561181434599,2,1
53,ACV,DEN,0.2323529411764706,3,3
54,ACV,LAX,0.11466666666666667,1,3
55,ACV,SFO,0.15415415415415415,2,3
56,ACY,FLL,0.31417624521072796,5,6
57,ACY,MCO,0.21209213051823417,3,6
58,ACY,MYR,0.14457831325301204,1,6
59,ACY,PBI,0.12209302325581395,1,6
60,ACY,RSW,0.06652360515021459,0,6
61,ACY,TPA,0.19626168224299065,2,6
62,ADK,ANC,0.2358490566037736,3,1
63,ADQ,ANC,0.13882063882063883,1,1
64,AEX,ATL,0.1265984654731458,1,2
65,AEX,DFW,0.19001751313485113,2,2
66,AGS,ATL,0.15866483767718337,2,12
67,AGS,AUS,0.0,0,12
68,AGS,BOS,0.14285714285714285,1,12
69,AGS,CLT,0.14335490293678446,1,12
70,AGS,DCA,0.22081218274111675,3,12
71,AGS,DFW,0.1939252336448598,2,12
72,AGS,DTW,0.42857142857142855,5,12
73,AGS,LGA,0.2857142857142857,4,12
74,AGS,MIA,0.6666666666666666,5,12
75,AGS,ORD,0.5454545454545454,5,12
76,AGS,PHL,0.35714285714285715,5,12
77,AGS,PHX,0.5,5,12
78,AKN,ANC,0.17391304347826086,2,1
79,ALB,ATL,0.17164179104477612,2,22
80,ALB,BNA,0.30701754385964913,5,22
81,ALB,BWI,0.15028901734104047,2,22
82,ALB,CLT,0.19483985765124556,2,22
83,ALB,DCA,0.15223880597014924,2,22
84,ALB,DEN,0.2857142857142857,4,22
85,ALB,DFW,0.125,1,22
86,ALB,DTW,0.13930348258706468,1,22
87,ALB,EWR,0.09170305676855896,0,22
88,ALB,FLL,0.25885558583106266,4,22
89,ALB,IAD,0.12048192771084337,1,22
90,ALB,LGA,0.12610837438423644,1,22
91,ALB,MCO,0.2663101604278075,4,22
92,ALB,MDW,0.19054441260744986,2,22
93,ALB,MIA,0.16666666666666666,2,22
94,ALB,MYR,0.17757009345794392,2,22
95,ALB,ORD,0.15172054223149115,2,22
96,ALB,PGD,0.25,3,22
97,ALB,PHL,0.1102873030583874,1,22
98,ALB,PIE,0.15447154471544716,2,22
99,ALB,SFB,0.3069306930693069,5,22
100,ALB,TPA,0.15763546798029557,2,22
101,ALO,ORD,0.2030178326474623,3,1
102,ALW,SEA,0.1111111111111111,1,1
103,AMA,AUS,0.032640949554896145,0,7
104,AMA,DAL,0.12797202797202797,1,7
105,AMA,DEN,0.20154043645699615,3,7
106,AMA,DFW,0.17792494481236204,2,7
107,AMA,HOU,0.0,0,7
108,AMA,IAH,0.15427927927927929,2,7
109,AMA,LAS,0.18829516539440203,2,7
110,ANC,ADK,0.1320754716981132,1,30
111,ANC,ADQ,0.15738498789346247,2,30
112,ANC,AKN,0.16538461538461538,2,30
113,ANC,ATL,0.44660194174757284,5,30
114,ANC,BET,0.19154557463672392,2,30
115,ANC,BRW,0.2878787878787879,4,30
116,ANC,CDV,0.18974358974358974,2,30
117,ANC,DEN,0.2925531914893617,4,30
118,ANC,DFW,0.41643835616438357,5,30
119,ANC,DLG,0.15384615384615385,2,30
120,ANC,EWR,0.4,5,30
121,ANC,FAI,0.13508771929824562,1,30
122,ANC,HNL,0.14958448753462603,1,30
123,ANC,IAH,0.28421052631578947,4,30
124,ANC,JNU,0.11541501976284585,1,30
125,ANC,KOA,0.10227272727272728,1,30
126,ANC,LAS,0.08695652173913043,0,30
127,ANC,LAX,0.17506631299734748,2,30
128,ANC,MSP,0.13853503184713375,1,30
129,ANC,OGG,0.08602150537634409,0,30
130,ANC,OME,0.16194331983805668,2,30
131,ANC,ORD,0.25769230769230766,4,30
132,ANC,OTZ,0.16486486486486487,2,30
133,ANC,PAE,0.2028169014084507,3,30
134,ANC,PDX,0.16846986089644514,2,30
135,ANC,PHX,0.17295597484276728,2,30
136,ANC,SCC,0.10044642857142858,1,30
137,ANC,SEA,0.1309164149043303,1,30
138,ANC,SFO,0.2028301886792453,3,30
139,ANC,SLC,0.15476190476190477,2,30
140,APN,DTW,0.18114143920595532,2,2
141,APN,PLN,0.3125,5,2
142,ART,PHL,0.10263522884882108,1,1
143,ASE,ATL,0.38219895287958117,5,9
144,ASE,AUS,0.336734693877551,5,9
145,ASE,DEN,0.2626865671641791,4,9
146,ASE,DFW,0.2964824120603015,4,9
147,ASE,IAH,0.38519924098671726,5,9
148,ASE,LAX,0.29298642533936653,4,9
149,ASE,ORD,0.30062111801242236,5,9
150,ASE,PHX,0.42045454545454547,5,9
151,ASE,SFO,0.38162544169611307,5,9
152,ATL,ABE,0.1460885956644675,1,154
153,ATL,ABQ,0.16866359447004609,2,154
154,ATL,ABY,0.09161147902869757,0,154
155,ATL,AEX,0.12198221092757307,1,154
156,ATL,AGS,0.1667428049337597,2,154
157,ATL,ALB,0.22014925373134328,3,154
158,ATL,ANC,0.44660194174757284,5,154
159,ATL,ASE,0.25853658536585367,4,154
160,ATL,ATW,0.09693877551020408,0,154
161,ATL,AUS,0.21129326047358835,3,154
162,ATL,AVL,0.14087034544638852,1,154
163,ATL,BDL,0.16666666666666666,2,154
164,ATL,BHM,0.17824153267191242,2,154
165,ATL,BMI,0.1683673469387755,2,154
166,ATL,BNA,0.17932187201528177,2,154
167,ATL,BOI,0.1331923890063425,1,154
168,ATL,BOS,0.2475908080059303,3,154
169,ATL,BQK,0.14030612244897958,1,154
170,ATL,BTR,0.1300251256281407,1,154
171,ATL,BTV,0.125,1,154
172,ATL,BUF,0.23261032161555723,3,154
173,ATL,BWI,0.2686022760431865,4,154
174,ATL,BZN,0.15,1,154
175,ATL,CAE,0.14601566098572086,1,154
176,ATL,CHA,0.1536910044372731,2,154
177,ATL,CHO,0.09646017699115045,0,154
178,ATL,CHS,0.17288253746950158,2,154
179,ATL,CID,0.17135549872122763,2,154
180,ATL,CLE,0.22283205268935236,3,154
181,ATL,CLT,0.16024302259350673,2,154
182,ATL,CMH,0.17913691400186277,2,154
183,ATL,COS,0.2849162011173184,4,154
184,ATL,CRW,0.14013346043851288,1,154
185,ATL,CSG,0.12586037364798427,1,154
186,ATL,CVG,0.17527932960893855,2,154
187,ATL,DAB,0.16854636591478697,2,154
188,ATL,DAL,0.21569688768606224,3,154
189,ATL,DAY,0.11954992967651196,1,154
190,ATL,DCA,0.19989260303396428,2,154
191,ATL,DEN,0.24654165385797724,3,154
192,ATL,DFW,0.24364343404128028,3,154
193,ATL,DHN,0.10038119440914867,1,154
194,ATL,DSM,0.14655172413793102,1,154
195,ATL,DTW,0.22787921348314608,3,154
196,ATL,ECP,0.18791264601320468,2,154
197,ATL,EGE,0.18181818181818182,2,154
198,ATL,ELP,0.17208672086720866,2,154
199,ATL,EVV,0.1346578366445916,1,154
200,ATL,EWR,0.24248210023866348,3,154
201,ATL,EYW,0.17728706624605678,2,154
202,ATL,FAY,0.17586649550706032,2,154
203,ATL,FLL,0.2951999056492511,4,154
204,ATL,FSD,0.2519480519480519,4,154
205,ATL,FWA,0.1636556854410202,2,154
206,ATL,GEG,0.11627906976744186,1,154
207,ATL,GNV,0.13370786516853933,1,154
208,ATL,GPT,0.13137557959814528,1,154
209,ATL,GRB,0.13144329896907217,1,154
210,ATL,GRR,0.19393511988716503,2,154
211,ATL,GSO,0.15309046254604994,2,154
212,ATL,GSP,0.20012165450121655,3,154
213,ATL,GTR,0.10939226519337017,1,154
214,ATL,HDN,0.1320754716981132,1,154
215,ATL,HHH,0.12156862745098039,1,154
216,ATL,HNL,0.25569620253164554,4,154
217,ATL,HOU,0.24560301507537688,3,154
218,ATL,HPN,0.16797488226059654,2,154
219,ATL,HSV,0.13803956834532374,1,154
220,ATL,IAD,0.19058762350494018,2,154
221,ATL,IAH,0.2514067888909058,4,154
222,ATL,ICT,0.12275985663082438,1,154
223,ATL,ILM,0.11061618411284335,1,154
224,ATL,IND,0.19263217097862767,2,154
225,ATL,ISP,0.0,0,154
226,ATL,JAC,0.2772727272727273,4,154
227,ATL,JAN,0.15497163332338013,2,154
228,ATL,JAX,0.248,3,154
229,ATL,JFK,0.31835655934646806,5,154
230,ATL,LAS,0.2845065245359309,4,154
231,ATL,LAX,0.2515400410677618,4,154
232,ATL,LEX,0.13202933985330073,1,154
233,ATL,LFT,0.1841860465116279,2,154
234,ATL,LGA,0.2596917890681435,4,154
235,ATL,LIT,0.16407185628742516,2,154
236,ATL,MCI,0.22315973232470177,3,154
237,ATL,MCO,0.27621673205386493,4,154
238,ATL,MDT,0.10938924339106655,1,154
239,ATL,MDW,0.2676997061180871,4,154
240,ATL,MEM,0.20010744023636853,3,154
241,ATL,MGM,0.15803814713896458,2,154
242,ATL,MIA,0.285194514413658,4,154
243,ATL,MKE,0.1944998007174173,2,154
244,ATL,MLB,0.16029023746701848,2,154
245,ATL,MLI,0.17684478371501272,2,154
246,ATL,MLU,0.1108433734939759,1,154
247,ATL,MOB,0.1699867197875166,2,154
248,ATL,MSN,0.1335125448028674,1,154
249,ATL,MSP,0.1922230374174615,2,154
250,ATL,MSY,0.24765784114052952,3,154
251,ATL,MTJ,0.22,3,154
252,ATL,MYR,0.16839378238341968,2,154
253,ATL,OAJ,0.12690355329949238,1,154
254,ATL,OAK,0.4473684210526316,5,154
255,ATL,OGG,0.20634920634920634,3,154
256,ATL,OKC,0.16134831460674157,2,154
257,ATL,OMA,0.15115248226950354,2,154
258,ATL,ONT,0.251779359430605,4,154
259,ATL,ORD,0.22177055103884372,3,154
260,ATL,ORF,0.22584493041749504,3,154
261,ATL,PBI,0.23434579439252337,3,154
262,ATL,PDX,0.15137956748695003,2,154
263,ATL,PHL,0.2693538067818298,4,154
264,ATL,PHX,0.21828454031843864,3,154
265,ATL,PIT,0.20173010380622838,3,154
266,ATL,PNS,0.1908910891089109,2,154
267,ATL,PSP,0.19148936170212766,2,154
268,ATL,PVD,0.2116650987770461,3,154
269,ATL,PWM,0.18148820326678766,2,154
270,ATL,RDU,0.23306689103912495,3,154
271,ATL,RIC,0.23498766109130792,3,154
272,ATL,ROA,0.14695652173913043,1,154
273,ATL,ROC,0.2308411214953271,3,154
274,ATL,RSW,0.21976672805402087,3,154
275,ATL,SAN,0.21896853146853146,3,154
276,ATL,SAT,0.20996657550896383,3,154
277,ATL,SAV,0.18410351201478742,2,154
278,ATL,SBN,0.18200620475698034,2,154
279,ATL,SDF,0.1641041732036398,2,154
280,ATL,SEA,0.21466953250940354,3,154
281,ATL,SFO,0.258436688779925,4,154
282,ATL,SGF,0.1474820143884892,1,154
283,ATL,SHV,0.16,2,154
284,ATL,SJC,0.1573170731707317,2,154
285,ATL,SJU,0.28142783238489394,4,154
286,ATL,SLC,0.19166148102053515,2,154
287,ATL,SMF,0.17251755265797392,2,154
288,ATL,SNA,0.2013888888888889,3,154
289,ATL,SRQ,0.19589743589743588,2,154
290,ATL,STL,0.21199557766721946,3,154
291,ATL,STT,0.15280135823429541,2,154
292,ATL,STX,0.1891891891891892,2,154
293,ATL,SWF,0.0,0,154
294,ATL,SYR,0.21621621621621623,3,154
295,ATL,TLH,0.13798449612403102,1,154
296,ATL,TPA,0.2544194597652383,4,154
297,ATL,TRI,0.13416320885200553,1,154
298,ATL,TTN,0.5076923076923077,5,154
299,ATL,TUL,0.12248865845755022,1,154
300,ATL,TUS,0.18065268065268064,2,154
301,ATL,TVC,0.07407407407407407,0,154
302,ATL,TYS,0.1502049944092434,2,154
303,ATL,VLD,0.11546840958605664,1,154
304,ATL,VPS,0.1707434052757794,2,154
305,ATL,XNA,0.10760309278350516,1,154
306,ATW,ATL,0.09718670076726342,0,16
307,ATW,AZA,0.2623762376237624,4,16
308,ATW,BNA,0.18243243243243243,2,16
309,ATW,CLT,0.034482758620689655,0,16
310,ATW,DEN,0.229957805907173,3,16
311,ATW,DTW,0.15424164524421594,2,16
312,ATW,FLL,0.3283582089552239,5,16
313,ATW,LAS,0.11842105263157894,1,16
314,ATW,MSP,0.1264236902050114,1,16
315,ATW,ORD,0.20039100684261973,3,16
316,ATW,PDX,0.041666666666666664,0,16
317,ATW,PGD,0.2972972972972973,4,16
318,ATW,PIE,0.18620689655172415,2,16
319,ATW,SAV,0.13333333333333333,1,16
320,ATW,SFB,0.2064516129032258,3,16
321,ATW,SRQ,0.20512820512820512,3,16
322,AUS,ABQ,0.210727969348659,3,84
323,AUS,AGS,0.0,0,84
